Aspire (670),Scores (100),,SUPLEMENTARY 1 (44),,SUPLEMENTARY GEMARA (185),,TableS2 (304),,,TOTAL,,TOTAL
PA0004 gyrB,PA0004 gyrB ,PA0004,PA0004 gyrB,PA0004,PA0004 gyrB,PA0004,PA0004 gyrB ,PA0004,,PA0004,,PA0004
PA0005  lptA,PA0424 mexR,PA0424,PA0424 mexR,PA0424,PA0424 mexR,PA0424,PA0424 mexR,PA0424,,PA0005,,PA0005
PA0424 mexR,PA0425 mexA,PA0425,PA0425 mexA,PA0425,PA0425 mexA,PA0425,PA0425 mexA,PA0425,,PA0424,,PA0424
PA0425 mexA,PA0426 mexB,PA0426,PA0426 mexB,PA0426,PA0426 mexB,PA0426,PA0426 mexB,PA0426,,PA0425,,PA0425
PA0426 mexB,PA0427 oprM,PA0427,PA0427 oprM,PA0427,PA0427 oprM,PA0427,PA0427 oprM,PA0427,,PA0426,,PA0426
PA0427 oprM,PA0807  ampDh3,PA0807,PA0807 ampDh3,PA0807,PA0807 ampDh3,PA0807,PA0807  ampDh3,PA0807,,PA0427,,PA0427
PA0807 ampDh3,PA0869 pbpG (PBP7),PA0869,PA0869 pbpG,PA0869,PA0869 pbpG (PBP6/7),PA0869,PA0958 oprD,PA0958,,PA0807,,PA0807
PA0869 pbpG (PBP7),PA0958 oprD,PA0958,PA0958 oprD,PA0958,PA0958 oprD,PA0958,oprD           REF. strain,oprD  ,,PA0869,,PA0869
PA0958 oprD,PA1179    phoP,PA1179,PA1179 phoP,PA1179,oprD Reference Strain,oprD R,PA1798  parS,PA1798,,PA0958,,PA0958
REF OprD,PA1180 phoQ,PA1180,PA1180 phoQ,PA1180,PA1179 phoP,PA1179,PA1799 parR,PA1799,,PA1179,,PA1179
PA1179 phoP,PA1798  parS,PA1798,PA1777 oprF,PA1777,PA1180 phoQ,PA1180,PA2018mexY,PA2018,,PA1180,,PA1180
PA1180 phoQ,PA1799 parR,PA1799,PA1798 parS,PA1798,PA1777 oprF,PA1777,PA2019mexX,PA2019,,PA1777,,PA1777
PA1777 oprF,PA2018mexY,PA2018,PA1799 parR,PA1799,PA1798 parS,PA1798,PA2020 mexZ,PA2020,,PA1798,,PA1798
PA1798 parS,PA2019mexX,PA2019,PA2018  mexY,PA2018,PA1799 parR,PA1799,PA2023 galU,PA2023,,PA1799,,PA1799
PA1799 parR,PA2020 mexZ,PA2020,PA2019 mexX,PA2019,PA2018 mexY,PA2018,PA2491 mexS,PA2491,,PA2018,,PA2018
PA2018  mexY,PA2023 galU,PA2023,PA2020 mexZ,PA2020,PA2019 mexX,PA2019,PA2492 mexT,PA2492,,PA2019,,PA2019
PA2019 mexX,PA2272 pbpC (PBP3a),PA2272,PA2491 mexS,PA2491,PA2020 mexZ,PA2020,PA2493 mexE,PA2493,,PA2020,,PA2020
PA2020 mexZ,PA2491 mexS,PA2491,PA2492 mexT,PA2492,PA2272 pbpC (PBP3a),PA2272,PA2494 mexF,PA2494,,PA2023,,PA2023
PA2023 galU ,PA2492 mexT,PA2492,PA3047 dacB,PA3047,PA2491 mexS,PA2491,PA2495 oprN,PA2495,,PA2272,,PA2272
PA2272 pbpC (PBP3a),PA2493 mexE,PA2493,PA3168 gyrA,PA3168,PA2492 mexT,PA2492,PA3047 dacB (PBP4),PA3047,,PA2491,,PA2491
PA2491 mexS,PA2494 mexF,PA2494,PA3574 nalD,PA3574,PA3047 dacB (PBP4),PA3047,PA3168 gyrA,PA3168,,PA2492,,PA2492
PA2492 mexT,PA2495 oprN,PA2495,PA3721 nalC,PA3721,PA3168 gyrA,PA3168,PA3574 nalD,PA3574,,PA2493,,PA2493
PA2493 mexE,PA3047 dacB,PA3047,PA3999 dacC,PA3999,PA3574 nalD,PA3574,PA3721 nalC,PA3721,,PA2494,,PA2494
PA2494 mexF,PA3168 gyrA,PA3168,PA4109 ampR,PA4109,PA3721 nalC,PA3721,PA3999 dacC (PBP5),PA3999,,PA2495,,PA2495
PA2495 oprN,PA3574 nalD,PA3574,PA4110 ampC,PA4110,PA3999 dacC (PBP5),PA3999,PA4003 pbpA (PBP2),PA4003,,PA3047,,PA3047
PA3047 dacB (PBP4),PA3721 nalC,PA3721,PA4418 ftsI,PA4418,PA4003 pbpA (PBP2),PA4003,PA4020 mpl,PA4020,,PA3168,,PA3168
